companyID,movieID,companyname
1644,10534,Largo Entertainment
1645,10534,Scott Free Productions
306,17414,Twentieth Century Fox Film Corporation
3311,17414,Joe Wizan/Todd Black
4,13997,Paramount Pictures
4,2086,Paramount Pictures
14,61548,Miramax Films
4665,61548,Addis Wechsler Pictures
559,9095,TriStar Pictures
18737,9095,NFH Productions
4,12158,Paramount Pictures
14,9283,Miramax Films
979,9283,Woods Entertainment
306,9208,Twentieth Century Fox Film Corporation
456,9208,WCG Entertainment Productions
11362,9208,Mark Gordon Productions
97,40154,Castle Rock Entertainment
75942,40154,Midwinter Films
802,406,Egg Pictures
1382,406,PolyGram Filmed Entertainment
5358,406,Canal+
5869,406,Les Productions Lazennec
16366,406,La Sept Cinéma
22684,406,Kasso Inc. Productions
68517,406,Studio Image
68518,406,Cofinergie 6
181,45549,Channel Four Films
3324,63076,British Broadcasting Corporation (BBC)
7025,63076,Westdeutscher Rundfunk (WDR)
12113,63076,Canadian Broadcasting Corporation (CBC)
12911,63076,Cinemax Reel Life
12912,63076,InPictures
12913,63076,Lafayette Films
5,11062,Columbia Pictures
97,11062,Castle Rock Entertainment
18,13685,Gracie Films
441,13685,Columbia Pictures Corporation
9195,47475,Touchstone Pictures
8411,2045,Metro-Goldwyn-Mayer (MGM)
10308,2045,Dino De Laurentiis Company
10355,2045,Spelling Films
33,9614,Universal Pictures
1606,9614,Brillstein-Grey Entertainment
3929,9614,Robert Simonds Productions
56,688,Amblin Entertainment
171,688,Malpaso Productions
6194,688,Warner Bros.
2,10874,Walt Disney Pictures
2504,10874,Jim Henson Productions
6254,10874,"Jim Henson Company, The"
4564,197,Icon Entertainment International
7965,197,The Ladd Company
11353,197,B.H. Finance C.V.
441,103,Columbia Pictures Corporation
46059,103,Italo/Judeo Productions
46060,103,Bill/Phillips
12,33542,New Line Cinema
2521,33542,Golden Harvest Company
175,43566,Caravan Pictures
915,43566,Hollywood Pictures
806,71754,Téléfilm Canada
2055,71754,Skyline Films
3498,71754,Malofilm
9116,71754,Société de Développement des Entreprises Culturelles (SODEC)
12745,71754,British Screen Productions
17027,71754,National Film Board of Canada (NFB)
22150,71754,imX Communications
38673,71754,Glace Bay Pictures
38674,71754,Ciné Télé Action
40534,71754,Nova Scotia Film Development Corporation
85045,71754,Ranfilm
83,43612,France 2 Cinéma
591,43612,France 3 Cinéma
694,43612,StudioCanal
883,43612,Les Productions du Champ Poirier
885,43612,Téléma Productions
3236,16934,Bavaria Film and Television Fund
559,10324,TriStar Pictures
11061,10324,Motion Picture Corporation of America (MPCA)
11308,78406,Savoy Pictures
559,55731,TriStar Pictures
4,11066,Paramount Pictures
540,11104,Jet Tone Production
10932,11104,The Criterion Collection
371,37975,Cecchi Gori Group Tiger Cinematografica
14,2074,Miramax Films
264,27793,Studio Babelsberg
1766,27793,Dieter Geissler Filmproduktion
1979,27793,Cinevox Filmproduktion GmbH
6194,27793,Warner Bros.
53009,27793,Miramax
22029,44284,Canal Horizons
22618,44284,Mat Films
71842,44284,Cinétéléfilms
8,73067,Fine Line Features
181,73067,Channel Four Films
1898,73067,Bórd Scannán na hÉireann
5358,73067,Canal+
4,11863,Paramount Pictures
93488,55475,Cigua Films
93489,55475,D'Pelicula
306,9101,Twentieth Century Fox Film Corporation
68229,123360,Couch Potatoe Productions
181,39428,Channel Four Films
38778,39428,Academy
94477,39428,Mayfair Films
94478,39428,Iberoamerica Films
1504,9302,Cinergi Pictures Entertainment
9195,9302,Touchstone Pictures
60,11000,United Artists
43,16388,Fox Searchlight Pictures
5,9737,Columbia Pictures
10288,9737,Don Simpson/Jerry Bruckheimer Films
6194,30765,Warner Bros.
12,10474,New Line Cinema
3492,10474,Island Pictures
8,22279,Fine Line Features
5996,22279,BBC
12745,22279,British Screen Productions
16027,22279,Portman Productions
181,30157,Channel Four Films
3644,30157,Zenith Entertainment
3906,30157,American Playhouse
7248,30157,Union Générale Cinématographique (UGC)
16366,30157,La Sept Cinéma
37909,30157,True Fiction Pictures
23,568,Imagine Entertainment
33,568,Universal Pictures
60,11780,United Artists
8989,11780,Talisman Productions
236,34996,October Films
1214,34996,Guild
5353,34996,Fastnet Films
6194,414,Warner Bros.
31080,414,Polygram Filmed Entertainment
386,649,Paris Films Productions
387,649,Five Films
11290,649,Robert et Raymond Hakim
5,1873,Columbia Pictures
97,1873,Castle Rock Entertainment
14,5894,Miramax Films
30334,5894,InterAL
1382,1775,PolyGram Filmed Entertainment
33,8839,Universal Pictures
56,8839,Amblin Entertainment
11098,8839,The Harvey Entertainment Company
33,20649,Universal Pictures
4319,20649,40 Acres & A Mule Filmworks
4,10329,Paramount Pictures
7383,10329,"Kennedy/Marshall Company, The"
915,8963,Hollywood Pictures
10288,8963,Don Simpson/Jerry Bruckheimer Films
4532,26564,Superior Pictures
5,8068,Columbia Pictures
11705,8068,Los Hooligans Productions
559,8512,TriStar Pictures
2510,8512,Mundy Lane Entertainment
306,1572,Twentieth Century Fox Film Corporation
1504,1572,Cinergi Pictures Entertainment
729,13552,Why Not Productions
1474,13552,Desperate Pictures
2765,13552,Blurco
18902,13552,The Teen Angst Movie Company
9195,259209,Touchstone Pictures
20740,259209,Merchant Ivory Productions
441,6520,Columbia Pictures Corporation
10158,6520,First Knight Productions
508,9073,Regency Enterprises
644,9073,Alcor Films
5358,9073,Canal+
5739,9073,Donner/Shuler-Donner Productions
6194,9073,Warner Bros.
60,10428,United Artists
87394,10428,Suftley
12909,17447,The Booking Office
12910,17447,Workin' Man Films
559,9886,TriStar Pictures
2480,9886,Alliance Communications Corporation
915,9482,Hollywood Pictures
1504,9482,Cinergi Pictures Entertainment
559,19326,TriStar Pictures
14,9344,Miramax Films
13187,9071,JDI productions
13190,9071,Lemon Sky Productions
60,8973,United Artists
3557,8973,Seraphim Films
1203,15730,The Ontario Film Development Corporation
2267,15730,First Choice Films
4350,15730,Atlantis Films
7320,15730,Telefilm Canada
7828,15730,Max Films Productions
11578,15730,Super Écran
35859,15730,Société Générale des Industries Culturelles du Québec (SOGIC)
9195,47608,Touchstone Pictures
33,2293,Universal Pictures
37,2293,Gramercy Pictures
11462,2293,Alphaville Films
16934,2293,View Askew Productions
306,9070,Twentieth Century Fox Film Corporation
2106,9070,Saban Entertainment
9255,9070,Toei Company
1382,68274,PolyGram Filmed Entertainment
10163,68274,Working Title Films
16561,48787,Comet Film Produktion GmbH
38959,48787,Avrora Media
38960,48787,Cobblestone Pictures
37897,34574,Kino Link Company
5,1642,Columbia Pictures
306,11472,Twentieth Century Fox Film Corporation
436,11472,1492 Pictures
37890,36196,Party Productions
7405,11980,Dimension Films
2492,58372,Playhouse International Pictures
3906,58372,American Playhouse
